lemma4.

n=2
0 0 , 1 0 ; 1 0 , 0 1
0 0 , 1 0 ; 1 0 , 1 0
0 0 , 1 0 ; 1 0 , 1 1
0 0 , 1 0 ; 1 1 , 0 0
0 0 , 1 0 ; 1 1 , 0 1
0 0 , 1 0 ; 1 1 , 1 0
0 0 , 1 0 ; 1 1 , 1 1
0 0 , 1 1 ; 0 0 , 0 0
0 0 , 1 1 ; 0 0 , 0 1
0 0 , 1 1 ; 0 0 , 1 0
0 0 , 1 1 ; 0 0 , 1 1
0 0 , 1 1 ; 0 1 , 0 0
0 0 , 1 1 ; 0 1 , 0 1
0 0 , 1 1 ; 0 1 , 1 0
0 0 , 1 1 ; 0 1 , 1 1
0 0 , 1 1 ; 1 0 , 0 0
0 0 , 1 1 ; 1 0 , 0 1
0 0 , 1 1 ; 1 0 , 1 0
0 0 , 1 1 ; 1 0 , 1 1
0 0 , 1 1 ; 1 1 , 0 0
0 0 , 1 1 ; 1 1 , 0 1
0 0 , 1 1 ; 1 1 , 1 0
0 0 , 1 1 ; 1 1 , 1 1
0 1 , 0 0 ; 0 0 , 0 0
0 1 , 0 0 ; 0 0 , 0 1
0 1 , 0 0 ; 0 0 , 1 0
0 1 , 0 0 ; 0 0 , 1 1
0 1 , 0 0 ; 0 1 , 0 0
0 1 , 0 0 ; 0 1 , 0 1
0 1 , 0 0 ; 0 1 , 1 0
0 1 , 0 0 ; 0 1 , 1 1
0 1 , 0 0 ; 1 0 , 0 0
0 1 , 0 0 ; 1 0 , 0 1
0 1 , 0 0 ; 1 0 , 1 0
0 1 , 0 0 ; 1 0 , 1 1
0 1 , 0 0 ; 1 1 , 0 0
0 1 , 0 0 ; 1 1 , 0 1
0 1 , 0 0 ; 1 1 , 1 0
0 1 , 0 0 ; 1 1 , 1 1
0 1 , 0 1 ; 0 0 , 0 0
0 1 , 0 1 ; 0 0 , 0 1
0 1 , 0 1 ; 0 0 , 1 0
0 1 , 0 1 ; 0 0 , 1 1
0 1 , 0 1 ; 0 1 , 0 0
0 1 , 0 1 ; 0 1 , 0 1
0 1 , 0 1 ; 0 1 , 1 0
0 1 , 0 1 ; 0 1 , 1 1
0 1 , 0 1 ; 1 0 , 0 0
0 1 , 0 1 ; 1 0 , 0 1
0 1 , 0 1 ; 1 0 , 1 0
0 1 , 0 1 ; 1 0 , 1 1
0 1 , 0 1 ; 1 1 , 0 0
0 1 , 0 1 ; 1 1 , 0 1
0 1 , 0 1 ; 1 1 , 1 0
0 1 , 0 1 ; 1 1 , 1 1
0 1 , 1 0 ; 0 0 , 0 0
0 1 , 1 0 ; 0 0 , 0 1
0 1 , 1 0 ; 0 0 , 1 0
0 1 , 1 0 ; 0 0 , 1 1
0 1 , 1 0 ; 0 1 , 0 0
0 1 , 1 0 ; 0 1 , 0 1
0 1 , 1 0 ; 0 1 , 1 0
0 1 , 1 0 ; 0 1 , 1 1
0 1 , 1 0 ; 1 0 , 0 0
0 1 , 1 0 ; 1 0 , 0 1
0 1 , 1 0 ; 1 0 , 1 0
0 1 , 1 0 ; 1 0 , 1 1
0 1 , 1 0 ; 1 1 , 0 0
0 1 , 1 0 ; 1 1 , 0 1
0 1 , 1 0 ; 1 1 , 1 0
0 1 , 1 0 ; 1 1 , 1 1
0 1 , 1 1 ; 0 0 , 0 0
0 1 , 1 1 ; 0 0 , 0 1
0 1 , 1 1 ; 0 0 , 1 0
0 1 , 1 1 ; 0 0 , 1 1
0 1 , 1 1 ; 0 1 , 0 0
0 1 , 1 1 ; 0 1 , 0 1
0 1 , 1 1 ; 0 1 , 1 0
0 1 , 1 1 ; 0 1 , 1 1
0 1 , 1 1 ; 1 0 , 0 0
0 1 , 1 1 ; 1 0 , 0 1
0 1 , 1 1 ; 1 0 , 1 0
0 1 , 1 1 ; 1 0 , 1 1
0 1 , 1 1 ; 1 1 , 0 0
0 1 , 1 1 ; 1 1 , 0 1
0 1 , 1 1 ; 1 1 , 1 0
0 1 , 1 1 ; 1 1 , 1 1
1 0 , 0 0 ; 0 0 , 0 0
1 0 , 0 0 ; 0 0 , 0 1
1 0 , 0 0 ; 0 0 , 1 0
1 0 , 0 0 ; 0 0 , 1 1
1 0 , 0 0 ; 0 1 , 0 0
1 0 , 0 0 ; 0 1 , 0 1
1 0 , 0 0 ; 0 1 , 1 0
1 0 , 0 0 ; 0 1 , 1 1
1 0 , 0 0 ; 1 0 , 0 0
1 0 , 0 0 ; 1 0 , 0 1
1 0 , 0 0 ; 1 0 , 1 0
1 0 , 0 0 ; 1 0 , 1 1
1 0 , 0 0 ; 1 1 , 0 0
1 0 , 0 0 ; 1 1 , 0 1
1 0 , 0 0 ; 1 1 , 1 0
1 0 , 0 0 ; 1 1 , 1 1
1 0 , 0 1 ; 0 0 , 0 0
1 0 , 0 1 ; 0 0 , 0 1
1 0 , 0 1 ; 0 0 , 1 0
1 0 , 0 1 ; 0 0 , 1 1
1 0 , 0 1 ; 0 1 , 0 0
1 0 , 0 1 ; 0 1 , 0 1
1 0 , 0 1 ; 0 1 , 1 0
1 0 , 0 1 ; 0 1 , 1 1
1 0 , 0 1 ; 1 0 , 0 0
1 0 , 0 1 ; 1 0 , 0 1
1 0 , 0 1 ; 1 0 , 1 0
1 0 , 0 1 ; 1 0 , 1 1
1 0 , 0 1 ; 1 1 , 0 0
1 0 , 0 1 ; 1 1 , 0 1
1 0 , 0 1 ; 1 1 , 1 0
1 0 , 0 1 ; 1 1 , 1 1
1 0 , 1 0 ; 0 0 , 0 0
1 0 , 1 0 ; 0 0 , 0 1
1 0 , 1 0 ; 0 0 , 1 0
1 0 , 1 0 ; 0 0 , 1 1
1 0 , 1 0 ; 0 1 , 0 0
1 0 , 1 0 ; 0 1 , 0 1
1 0 , 1 0 ; 0 1 , 1 0
1 0 , 1 0 ; 0 1 , 1 1
1 0 , 1 0 ; 1 0 , 0 0
1 0 , 1 0 ; 1 0 , 0 1
1 0 , 1 0 ; 1 0 , 1 0
1 0 , 1 0 ; 1 0 , 1 1
1 0 , 1 0 ; 1 1 , 0 0
1 0 , 1 0 ; 1 1 , 0 1
1 0 , 1 0 ; 1 1 , 1 0
1 0 , 1 0 ; 1 1 , 1 1
1 0 , 1 1 ; 0 0 , 0 0
1 0 , 1 1 ; 0 0 , 0 1
1 0 , 1 1 ; 0 0 , 1 0
1 0 , 1 1 ; 0 0 , 1 1
1 0 , 1 1 ; 0 1 , 0 0
1 0 , 1 1 ; 0 1 , 0 1
1 0 , 1 1 ; 0 1 , 1 0
1 0 , 1 1 ; 0 1 , 1 1
1 0 , 1 1 ; 1 0 , 0 0
1 0 , 1 1 ; 1 0 , 0 1
1 0 , 1 1 ; 1 0 , 1 0
1 0 , 1 1 ; 1 0 , 1 1
1 0 , 1 1 ; 1 1 , 0 0
1 0 , 1 1 ; 1 1 , 0 1
1 0 , 1 1 ; 1 1 , 1 0
1 0 , 1 1 ; 1 1 , 1 1
1 1 , 0 0 ; 0 0 , 0 0
1 1 , 0 0 ; 0 0 , 0 1
1 1 , 0 0 ; 0 0 , 1 0
1 1 , 0 0 ; 0 0 , 1 1
1 1 , 0 0 ; 0 1 , 0 0
1 1 , 0 0 ; 0 1 , 0 1
1 1 , 0 0 ; 0 1 , 1 0
1 1 , 0 0 ; 0 1 , 1 1
1 1 , 0 0 ; 1 0 , 0 0
1 1 , 0 0 ; 1 0 , 0 1
1 1 , 0 0 ; 1 0 , 1 0
1 1 , 0 0 ; 1 0 , 1 1
1 1 , 0 0 ; 1 1 , 0 0
1 1 , 0 0 ; 1 1 , 0 1
1 1 , 0 0 ; 1 1 , 1 0
1 1 , 0 0 ; 1 1 , 1 1
1 1 , 0 1 ; 0 0 , 0 0
1 1 , 0 1 ; 0 0 , 0 1
1 1 , 0 1 ; 0 0 , 1 0
1 1 , 0 1 ; 0 0 , 1 1
1 1 , 0 1 ; 0 1 , 0 0
1 1 , 0 1 ; 0 1 , 0 1
1 1 , 0 1 ; 0 1 , 1 0
1 1 , 0 1 ; 0 1 , 1 1
1 1 , 0 1 ; 1 0 , 0 0
1 1 , 0 1 ; 1 0 , 0 1
1 1 , 0 1 ; 1 0 , 1 0
1 1 , 0 1 ; 1 0 , 1 1
1 1 , 0 1 ; 1 1 , 0 0
1 1 , 0 1 ; 1 1 , 0 1
1 1 , 0 1 ; 1 1 , 1 0
1 1 , 0 1 ; 1 1 , 1 1
1 1 , 1 0 ; 0 0 , 0 0
1 1 , 1 0 ; 0 0 , 0 1
1 1 , 1 0 ; 0 0 , 1 0
1 1 , 1 0 ; 0 0 , 1 1
1 1 , 1 0 ; 0 1 , 0 0
1 1 , 1 0 ; 0 1 , 0 1
1 1 , 1 0 ; 0 1 , 1 0
1 1 , 1 0 ; 0 1 , 1 1
1 1 , 1 0 ; 1 0 , 0 0
1 1 , 1 0 ; 1 0 , 0 1
1 1 , 1 0 ; 1 0 , 1 0
1 1 , 1 0 ; 1 0 , 1 1
1 1 , 1 0 ; 1 1 , 0 0
1 1 , 1 0 ; 1 1 , 0 1
1 1 , 1 0 ; 1 1 , 1 0
1 1 , 1 0 ; 1 1 , 1 1
1 1 , 1 1 ; 0 0 , 0 0
1 1 , 1 1 ; 0 0 , 0 1
1 1 , 1 1 ; 0 0 , 1 0
1 1 , 1 1 ; 0 0 , 1 1
1 1 , 1 1 ; 0 1 , 0 0
1 1 , 1 1 ; 0 1 , 0 1
1 1 , 1 1 ; 0 1 , 1 0
1 1 , 1 1 ; 0 1 , 1 1
1 1 , 1 1 ; 1 0 , 0 0
1 1 , 1 1 ; 1 0 , 0 1
1 1 , 1 1 ; 1 0 , 1 0
1 1 , 1 1 ; 1 0 , 1 1
1 1 , 1 1 ; 1 1 , 0 0
1 1 , 1 1 ; 1 1 , 0 1
1 1 , 1 1 ; 1 1 , 1 0
1 1 , 1 1 ; 1 1 , 1 1

\begin{align*}
    O^{hk}-P^{hk} 
    &= - \dfrac{2}{3} \dfrac{\partial }{\partial x^r }\left( \chi ^{hk,rm;ab,cd} \right) g_{ab,cdm} \\
    &+ \lam{hk,im;ab,cd;rs,tu} g_{ab,cdm}g_{rs,tui}
\end{align*}

\begin{align*}
    O^{hk}-P^{hk} 
    &= -2\dfrac{\partial }{\partial x^r }\left( \lam{hk,rm;ab,cd} \right) g_{ab,cdm} + \lam{hk,r;ab,cd} g_{ab,cd}\\
    &-  \lam{hk,rm;ab,c} g_{ab,cmr}  
    + \lam{hk,em;ab,cd;rs,tu}g_{ab,dcm}g_{rs,tue} 
\end{align*}
